DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000034,6001299000010, ,001518,01/07/2016,INV,62336900,21481,THE PALMS SUPERSPAR,6001008406508,12108.26,13777.19,618.73,705.09,1582.57,13072.10,294081
6001008000034,6001299000010, ,001518,06/07/2016,INV,62409391,21992,RUSTENBURG SQUARE SUPERSPAR,6001008411052,7142.16,7644.88,364.96,411.09,456.59,7233.79,294081
6001008000034,6001299000010, ,001518,06/07/2016,CR,62318560,21665,BETHAL SUPERSPAR,6001008407734,-781.65,-891.08,-39.94,-45.53,-103.84,-845.55,294081
6001008000034,6001299000010, ,001518,17/06/2016,CR,62080762CL,21386,KALAHARI SPAR (FS),6001008405136,-10.21,-11.64,-0.53,-0.60,-1.36,-11.04,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62327665,10487,RANDGATE SPAR,6001008400414,8252.56,9145.85,421.71,478.13,836.87,8667.72,294081
6001008000034,6001299000010, ,001518,23/06/2016,CR,62204133E,21105,ROBINDALE SPAR (CLOSED),6001008401558,-6451.80,-6818.65,-329.68,-370.47,-326.06,-6448.18,294081
6001008000034,6001299000010, ,001518,06/07/2016,CR,62441649,21173,VOSLOORUS SPAR,6001008402234,-7054.88,-7450.13,-360.51,-405.05,-350.71,-7045.08,294081
6001008000034,6001299000010, ,001518,21/07/2016,CR,62457875,10374,MINI MARKET SUPERSPAR,6001008400292,-754.58,-849.05,-38.56,-43.85,-89.18,-805.20,294081
6001008000034,6001299000010, ,001518,07/07/2016,CR,62434032,21043,STEVE'S BLACKHEATH SUPERSPAR,6001008401084,-1078.77,-1229.80,-55.12,-62.84,-143.31,-1166.96,294081
6001008000034,6001299000010, ,001518,01/04/2016,CR,916449CL,10264,KARAGLEN SUPERSPAR,6001008400186,-138.05,-157.38,-7.05,-8.03,-18.35,-149.35,294081
6001008000034,6001299000010, ,001518,29/07/2016,CR,62808174,22057,FOURWAYS GARDENS SPAR,6001008411533,-2305.91,-2541.14,-117.83,-133.45,-219.61,-2407.69,294081
6001008000034,6001299000010, ,001518,04/07/2016,INV,62355009,21236,HARRISMITH SPAR(FS),6001008403354,230.04,262.24,11.75,13.39,30.56,248.85,294081
6001008000034,6001299000010, ,001518,15/07/2016,CR,62376624,10338,MAGALIES SUPERSPAR,6001008400261,-592.20,-675.11,-30.27,-34.51,-78.67,-640.60,294081
6001008000034,6001299000010, ,001518,29/07/2016,CR,62771498,21586,2ND AVENUE SPAR,6001008407130,-191.04,-217.79,-9.76,-11.13,-25.38,-206.66,294081
